date,1. open,2. high,3. low,4. close,5. volume
2021-10-01 19:59:00,288.6,288.6,288.6,288.6,408.0
2021-10-01 19:40:00,288.5,288.5,288.5,288.5,301.0
2021-10-01 19:39:00,288.5,288.5,288.5,288.5,207.0
2021-10-01 19:21:00,288.6,288.6,288.6,288.6,151.0
2021-10-01 19:20:00,288.57,288.57,288.57,288.57,227.0
2021-10-01 19:01:00,288.57,288.57,288.57,288.57,501.0
2021-10-01 18:55:00,288.58,288.58,288.58,288.58,104.0
2021-10-01 18:52:00,288.53,288.53,288.5,288.5,1596.0
2021-10-01 18:50:00,288.58,288.58,288.58,288.58,100.0
2021-10-01 18:48:00,288.58,288.58,288.58,288.58,334.0
2021-10-01 18:41:00,288.5401,288.5401,288.54,288.54,621.0
2021-10-01 18:28:00,288.58,288.6,288.58,288.6,2243.0
2021-10-01 18:27:00,288.58,288.58,288.58,288.58,152.0
2021-10-01 18:19:00,288.5,288.5,288.44,288.44,1244.0
2021-10-01 18:17:00,288.57,288.57,288.57,288.57,120.0
2021-10-01 18:09:00,288.6,288.6,288.6,288.6,109.0
2021-10-01 18:07:00,288.6,288.6,288.55,288.55,450.0
2021-10-01 17:55:00,288.65,288.73,288.65,288.73,2653.0
2021-10-01 17:54:00,288.67,288.67,288.67,288.67,309.0
2021-10-01 17:47:00,288.48,288.56,288.48,288.56,526.0
2021-10-01 17:46:00,288.42,288.42,288.42,288.42,368.0
2021-10-01 17:45:00,288.51,288.51,288.51,288.51,453.0
2021-10-01 17:40:00,288.54,288.54,288.54,288.54,1048.0
2021-10-01 17:39:00,288.53,288.53,288.53,288.53,1325.0
2021-10-01 17:33:00,288.5,288.5,288.5,288.5,1032.0
2021-10-01 17:32:00,288.42,288.42,288.42,288.42,901.0
2021-10-01 17:26:00,289.1,289.1,289.1,289.1,1279595.0
2021-10-01 17:24:00,288.48,288.48,288.48,288.48,470.0
2021-10-01 17:14:00,288.35,288.35,288.35,288.35,284.0
2021-10-01 17:09:00,288.34,288.34,288.34,288.34,303.0
2021-10-01 17:08:00,288.4,288.4,288.4,288.4,535.0
2021-10-01 17:07:00,288.3,288.3,288.3,288.3,340.0
2021-10-01 17:04:00,288.35,288.35,288.35,288.35,305.0
2021-10-01 17:01:00,288.35,288.35,288.35,288.35,243.0
2021-10-01 16:59:00,288.34,288.34,288.34,288.34,1955.0
2021-10-01 16:56:00,288.34,288.35,288.34,288.35,305.0
2021-10-01 16:55:00,288.34,288.34,288.29,288.3,3141.0
2021-10-01 16:54:00,288.35,288.35,288.35,288.35,209.0
2021-10-01 16:50:00,288.3,288.34,288.3,288.34,6805.0
2021-10-01 16:49:00,288.3,288.3,288.3,288.3,356.0
2021-10-01 16:47:00,288.31,288.31,288.25,288.25,260.0
2021-10-01 16:46:00,288.3,288.34,288.3,288.34,463.0
2021-10-01 16:45:00,288.32,288.32,288.3,288.3,2334.0
2021-10-01 16:44:00,288.3,288.3,288.3,288.3,211.0
2021-10-01 16:43:00,288.3,288.3,288.3,288.3,168.0
2021-10-01 16:42:00,288.34,288.34,288.34,288.34,309.0
2021-10-01 16:41:00,288.32,288.32,288.32,288.32,1603.0
2021-10-01 16:38:00,288.4,288.4,288.4,288.4,229.0
2021-10-01 16:37:00,288.4,288.4,288.4,288.4,688.0
2021-10-01 16:36:00,288.34,288.442,288.34,288.34,3219.0
2021-10-01 16:35:00,288.38,288.38,288.38,288.38,573.0
2021-10-01 16:25:00,288.45,288.48,288.45,288.48,402.0
2021-10-01 16:24:00,288.48,288.5,288.48,288.5,664.0
2021-10-01 16:23:00,288.3701,288.3701,288.3701,288.3701,281.0
2021-10-01 16:22:00,288.4,288.47,288.4,288.4,854.0
2021-10-01 16:21:00,288.37,288.37,288.37,288.37,130.0
2021-10-01 16:20:00,288.37,288.37,288.37,288.37,102.0
2021-10-01 16:19:00,289.1,289.1,288.39,288.41,3528.0
2021-10-01 16:18:00,288.41,288.41,288.37,288.37,805.0
2021-10-01 16:17:00,288.34,288.34,288.34,288.34,176.0
2021-10-01 16:16:00,289.1,289.1,288.3,288.3,52557.0
2021-10-01 16:15:00,288.39,289.1,288.31,288.33,9207.0
2021-10-01 16:14:00,288.4,288.41,288.4,288.41,984.0
2021-10-01 16:13:00,289.1,289.1,289.1,289.1,454.0
2021-10-01 16:12:00,288.58,288.58,288.4,288.49,7067.0
2021-10-01 16:11:00,288.56,288.6,288.51,288.51,724.0
2021-10-01 16:10:00,288.5,288.5,288.5,288.5,568.0
2021-10-01 16:09:00,288.51,288.51,288.5,288.5,2594.0
2021-10-01 16:08:00,288.67,289.1,288.6,288.6,15832.0
2021-10-01 16:07:00,288.6,289.1,288.6,289.1,57567.0
2021-10-01 16:06:00,288.68,288.69,288.67,288.67,7865.0
2021-10-01 16:05:00,288.68,288.7,288.6,288.69,3754.0
2021-10-01 16:04:00,288.7,289.1,288.5,288.69,552849.0
2021-10-01 16:03:00,288.64,289.1,288.5,289.1,386402.0
2021-10-01 16:02:00,289.1,289.1,288.29,288.65,122468.0
2021-10-01 16:01:00,289.1,289.1,288.0,288.39,189041.0
2021-10-01 16:00:00,288.63,289.3,288.0,289.1,920782.0
2021-10-01 15:59:00,289.27,289.27,288.53,288.63,347741.0
