date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-10-01,51.19,51.19,47.44,49.55,49.55,3270131.0,0.0,1.0
2021-09-30,50.4,51.39,48.92,50.7,50.7,2578737.0,0.0,1.0
2021-09-29,53.0,53.55,49.75,51.34,51.34,3481964.0,0.0,1.0
2021-09-28,54.25,55.0,51.5,53.37,53.37,2952234.0,0.0,1.0
2021-09-27,54.94,55.77,53.6,55.1,55.1,2744945.0,0.0,1.0
2021-09-24,57.81,58.8696,56.58,56.7,56.7,1363529.0,0.0,1.0
2021-09-23,55.99,59.7,55.26,58.94,58.94,2467308.0,0.0,1.0
2021-09-22,55.61,55.61,52.01,55.0,55.0,2354944.0,0.0,1.0
2021-09-21,55.81,56.97,54.06,55.89,55.89,2141226.0,0.0,1.0
2021-09-20,55.99,57.455,53.61,54.29,54.29,3930822.0,0.0,1.0
2021-09-17,60.82,60.99,59.12,59.41,59.41,1292895.0,0.0,1.0
2021-09-16,60.69,62.2,59.45,60.65,60.65,2225711.0,0.0,1.0
2021-09-15,57.3,60.8,57.06,60.12,60.12,2810193.0,0.0,1.0
2021-09-14,58.09,58.3881,56.57,57.12,57.12,1576505.0,0.0,1.0
2021-09-13,59.51,59.55,55.34,58.69,58.69,3371585.0,0.0,1.0
2021-09-10,58.5,60.3,57.75,58.61,58.61,2761557.0,0.0,1.0
2021-09-09,55.95,58.98,55.59,58.09,58.09,3461945.0,0.0,1.0
2021-09-08,54.5,56.08,53.18,55.68,55.68,2228645.0,0.0,1.0
2021-09-07,55.34,57.535,54.31,55.1,55.1,2763280.0,0.0,1.0
2021-09-03,53.0,54.7,52.1106,54.14,54.14,2358141.0,0.0,1.0
2021-09-02,51.19,53.25,51.0,53.0,53.0,2475490.0,0.0,1.0
2021-09-01,48.51,50.97,48.35,50.82,50.82,3378269.0,0.0,1.0
2021-08-31,49.04,49.37,47.59,48.3,48.3,1366060.0,0.0,1.0
2021-08-30,49.74,50.0,48.03,48.69,48.69,1479871.0,0.0,1.0
