date,1. open,2. high,3. low,4. close,5. volume
2021-08-20 20:00:00,304.5,304.6,304.5,304.6,1598.0
2021-08-20 19:58:00,304.45,304.45,304.45,304.45,250.0
2021-08-20 19:56:00,304.4,304.4,304.35,304.35,1004.0
2021-08-20 19:54:00,304.38,304.38,304.38,304.38,231.0
2021-08-20 19:53:00,304.4,304.4,304.4,304.4,208.0
2021-08-20 19:52:00,304.4,304.4,304.4,304.4,730.0
2021-08-20 19:51:00,304.4,304.4,304.4,304.4,382.0
2021-08-20 19:50:00,304.36,304.36,304.35,304.35,2274.0
2021-08-20 19:47:00,304.39,304.39,304.39,304.39,224.0
2021-08-20 19:41:00,304.39,304.39,304.39,304.39,130.0
2021-08-20 19:37:00,304.45,304.45,304.45,304.45,104.0
2021-08-20 19:36:00,304.44,304.44,304.44,304.44,501.0
2021-08-20 19:35:00,304.45,304.45,304.45,304.45,605.0
2021-08-20 19:33:00,304.35,304.35,304.35,304.35,1025.0
2021-08-20 19:28:00,304.35,304.35,304.35,304.35,282.0
2021-08-20 19:27:00,304.35,304.35,304.35,304.35,506.0
2021-08-20 19:22:00,304.35,304.35,304.35,304.35,166.0
2021-08-20 19:21:00,304.35,304.35,304.35,304.35,511.0
2021-08-20 19:19:00,304.33,304.35,304.33,304.35,434.0
2021-08-20 19:15:00,304.33,304.33,304.33,304.33,320.0
2021-08-20 19:14:00,304.35,304.35,304.35,304.35,102.0
2021-08-20 19:06:00,304.35,304.35,304.35,304.35,205.0
2021-08-20 18:51:00,304.24,304.24,304.24,304.24,280.0
2021-08-20 18:50:00,304.24,304.24,304.24,304.24,2029.0
2021-08-20 18:49:00,304.35,304.35,304.35,304.35,310.0
2021-08-20 18:46:00,304.3,304.3,304.3,304.3,323.0
2021-08-20 18:45:00,304.23,304.23,304.23,304.23,127.0
2021-08-20 18:44:00,304.3,304.3,304.3,304.3,200.0
2021-08-20 18:41:00,304.2,304.2,304.2,304.2,105.0
2021-08-20 18:40:00,304.2,304.2,304.2,304.2,400.0
2021-08-20 18:39:00,304.35,304.35,304.23,304.23,704.0
2021-08-20 18:38:00,304.25,304.25,304.25,304.25,244.0
2021-08-20 18:36:00,304.35,304.35,304.35,304.35,302.0
2021-08-20 18:27:00,304.2,304.2,304.2,304.2,200.0
2021-08-20 18:24:00,304.35,304.35,304.35,304.35,100.0
2021-08-20 18:23:00,304.2,304.2,304.2,304.2,150.0
2021-08-20 18:22:00,304.28,304.28,304.28,304.28,100.0
2021-08-20 18:20:00,304.28,304.3,304.28,304.3,1210.0
2021-08-20 18:19:00,304.2,304.2,304.2,304.2,203.0
2021-08-20 18:14:00,304.3,304.3,304.3,304.3,811.0
2021-08-20 18:12:00,304.25,304.25,304.25,304.25,1199.0
2021-08-20 18:09:00,304.25,304.28,304.25,304.28,892.0
2021-08-20 18:03:00,304.28,304.28,304.28,304.28,211.0
2021-08-20 17:57:00,304.28,304.28,304.28,304.28,352.0
2021-08-20 17:54:00,304.3,304.3,304.3,304.3,118.0
2021-08-20 17:53:00,304.25,304.25,304.25,304.25,239.0
2021-08-20 17:52:00,304.25,304.25,304.25,304.25,228.0
2021-08-20 17:48:00,304.3,304.3,304.3,304.3,208.0
2021-08-20 17:45:00,304.2001,304.2001,304.2001,304.2001,138.0
2021-08-20 17:43:00,304.26,304.3,304.26,304.3,446.0
2021-08-20 17:33:00,304.1501,304.1501,304.15,304.15,313.0
2021-08-20 17:29:00,304.19,304.3,304.19,304.3,1332.0
2021-08-20 17:28:00,304.2,304.2,304.2,304.2,240.0
2021-08-20 17:24:00,304.24,304.24,304.24,304.24,306.0
2021-08-20 17:16:00,304.14,304.36,304.14,304.36,46242.0
2021-08-20 17:10:00,304.3,304.319,304.3,304.319,849.0
2021-08-20 17:08:00,304.3,304.3,304.3,304.3,1398.0
2021-08-20 17:03:00,304.35,304.35,304.35,304.35,110.0
2021-08-20 16:59:00,304.35,304.35,304.35,304.35,703.0
2021-08-20 16:58:00,304.35,304.35,304.2,304.2,2958.0
2021-08-20 16:57:00,304.35,304.35,304.3,304.3,454.0
2021-08-20 16:55:00,304.35,304.35,304.35,304.35,176.0
2021-08-20 16:47:00,304.35,304.37,304.35,304.35,1098.0
2021-08-20 16:41:00,304.5,304.5,304.4,304.4,1058.0
2021-08-20 16:38:00,304.4,304.4,304.4,304.4,532.0
2021-08-20 16:37:00,304.4025,304.4025,304.4025,304.4025,264.0
2021-08-20 16:36:00,304.5,304.5,304.4,304.4,359.0
2021-08-20 16:34:00,304.4,304.5,304.4,304.5,279.0
2021-08-20 16:32:00,304.42,304.59,304.42,304.59,584.0
2021-08-20 16:31:00,304.43,304.59,304.43,304.59,1837.0
2021-08-20 16:29:00,304.3,304.3,304.3,304.3,224.0
2021-08-20 16:27:00,304.2999,304.3,304.26,304.3,1733.0
2021-08-20 16:26:00,304.3,304.3,304.3,304.3,466.0
2021-08-20 16:19:00,304.37,304.37,304.37,304.37,1456.0
2021-08-20 16:18:00,304.18,304.36,304.15,304.36,4435.0
2021-08-20 16:17:00,304.15,304.3,304.15,304.21,2018.0
2021-08-20 16:16:00,304.15,304.2,304.15,304.2,871.0
